"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.532031458E0,3.118548514E-2,2.931265851E-2,5.558246255E-2,7.015109818E-2
1.542033458E0,1.039403430E-1,-3.270210670E-2,7.831936061E-2,1.341899584E-1
1.552036458E0,8.855839071E-1,-7.617716007E-2,7.441342056E-2,8.919636614E-1
1.562039458E0,4.470359357E-1,-7.476633657E-3,5.792719603E-2,4.508354333E-1
1.572041458E0,2.470593514E-1,2.392458451E-1,2.826836407E-2,3.450739021E-1
1.582044458E0,1.920667670E0,3.510128872E-1,6.193663180E-2,1.953461157E0
1.592047458E0,1.974190889E0,1.296325700E-1,4.096793175E-2,1.978866504E0
1.602049458E0,1.759281302E0,3.658235556E-1,5.015741587E-3,1.796920346E0
1.612052458E0,1.715938962E0,5.155244458E-1,-5.008198678E-2,1.792406254E0
1.622055458E0,1.784551214E0,3.331054969E-1,5.289800584E-2,1.816144407E0
1.632057458E0,1.819516248E0,9.789994994E-2,-9.858990312E-3,1.822174793E0
1.642060458E0,1.939756198E0,9.822532922E-2,-3.400155902E-3,1.942244548E0
1.652063458E0,2.373383079E0,6.069884934E-2,1.417815310E-1,2.378388865E0
1.662065458E0,2.983393852E0,-2.617851438E-2,-9.059091210E-2,2.984883734E0
1.672068458E0,3.112935407E0,-7.388053821E-2,1.821056843E-2,3.113865251E0
1.682071458E0,3.104436186E0,1.142336901E-1,5.577834427E-2,3.107037913E0
1.692073458E0,2.941264956E0,-3.663631439E-2,4.169591010E-2,2.941788624E0
1.702076458E0,2.597039955E0,-3.424006695E-1,3.583992362E-2,2.619759387E0
1.712079458E0,2.231701243E0,-2.900495245E-1,4.854475379E-2,2.250994393E0
1.722081458E0,1.870029905E0,7.004902225E-2,6.322301924E-2,1.872409106E0
1.732084458E0,1.673983143E0,4.642332182E-1,5.064565837E-2,1.737900178E0
1.742087458E0,1.779456389E0,7.652210925E-1,5.130347013E-3,1.937022116E0
1.752089458E0,1.748933923E0,6.888649345E-1,1.962676406E-2,1.879811154E0
1.762092458E0,1.662384899E0,3.896361220E-1,-8.123536706E-3,1.707455959E0
1.772095458E0,1.673971010E0,2.514910293E-1,-3.690645576E-2,1.693159404E0
1.782093917E0,1.796372383E0,3.047315175E-1,9.602414489E-2,1.824564516E0
1.792096917E0,1.900193206E0,3.277520055E-1,9.781514704E-2,1.930731312E0
1.802099917E0,1.810428651E0,3.891388894E-1,3.000147879E-2,1.852020806E0
1.812101917E0,1.542142610E0,4.768660911E-1,1.409763694E-3,1.614189296E0
1.822104917E0,1.308413028E0,2.660183452E-1,5.365989804E-2,1.336259629E0
1.832107917E0,1.131036206E0,-2.272397937E-1,8.003668785E-3,1.153665845E0
1.842109917E0,8.720004597E-1,-7.400597195E-1,4.346001506E-2,1.144535698E0
1.852112917E0,6.059568983E-1,-8.133184612E-1,-2.683871984E-4,1.014234073E0
1.862115917E0,6.026098790E-1,-5.893696631E-1,7.457304955E-2,8.462011616E-1
1.872117917E0,8.143790730E-1,-5.396926326E-1,6.571276367E-2,9.791831185E-1
1.882120917E0,1.124360001E0,-7.796265122E-1,6.568645120E-2,1.369787437E0
1.892123917E0,1.310370237E0,-8.247256480E-1,9.368818223E-2,1.551135077E0
1.902125917E0,1.156356843E0,-2.325011915E-1,7.440114141E-2,1.181843256E0
1.912128917E0,5.917615763E-1,5.273795659E-1,2.488750398E-2,7.930512957E-1
1.922131917E0,-2.977646514E-1,5.643906137E-1,7.672073185E-2,6.427181522E-1
1.932133917E0,-9.949608267E-1,-3.427201467E-1,3.482309282E-2,1.052908730E0
